LABTYPE,RPTAGGR,YYYY,PERIOD,DRUG_REPORTS,QUERY_RUN_DATE,SUBSTANCE_ID,SUBSTANCE_DESCRIPTION,BASE_ID,BASE_DESCRIPTION,DRUG_CATEGORY_CODE,DRUG_CATEGORY_DESCRIPTION,STATE,STATE_LONG_NAME,STATE_FIPS
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","74","2023-06-06 13:44:32","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","WI","Wisconsin","55"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA1 (JAN - JUN)","6021","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","IL","Illinois","17"
"Local/Municipal,State,Federal,Private","DrugReport  ","2011","SA1 (JAN - JUN)","1574","2023-06-06 13:44:32","1247","OXYCODONE","1247","Oxycodone","11","Narcotic Analgesics","MD","Maryland","24"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","4152","2023-06-06 13:44:32","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA1 (JAN - JUN)","1013","2023-06-06 13:44:32","1247","OXYCODONE","1247","Oxycodone","11","Narcotic Analgesics","GA","Georgia","13"
"Local/Municipal,State,Federal,Private","DrugReport  ","2008","SA2 (JUL - DEC)","1176","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","VA","Virginia","51"
"Local/Municipal,State,Federal,Private","DrugReport  ","2012","SA2 (JUL - DEC)","4433","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","MA","Massachusetts","25"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","1140","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","SC","South Carolina","45"
"Local/Municipal,State,Federal,Private","DrugReport  ","2008","SA1 (JAN - JUN)","5425","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","IL","Illinois","17"
"Local/Municipal,State,Federal,Private","DrugReport  ","2009","SA1 (JAN - JUN)","5021","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA1 (JAN - JUN)","1678","2023-06-06 13:44:32","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","MD","Maryland","24"
"Local/Municipal,State,Federal,Private","DrugReport  ","2010","SA1 (JAN - JUN)","4480","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","OH","Ohio","39"
"Local/Municipal,State,Federal,Private","DrugReport  ","2002","SA2 (JUL - DEC)","931","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","FL","Florida","12"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA2 (JUL - DEC)","418","2023-06-06 13:44:32","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","AR","Arkansas","05"
"Local/Municipal,State,Federal,Private","DrugReport  ","2009","SA1 (JAN - JUN)","6298","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","PA","Pennsylvania","42"
"Local/Municipal,State,Federal,Private","DrugReport  ","2002","SA2 (JUL - DEC)","3026","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","MA","Massachusetts","25"
"Local/Municipal,State,Federal,Private","DrugReport  ","2001","SA2 (JUL - DEC)","1733","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA2 (JUL - DEC)","1754","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","OH","Ohio","39"
"Local/Municipal,State,Federal,Private","DrugReport  ","2019","SA1 (JAN - JUN)","8859","2023-06-06 13:44:32","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","OH","Ohio","39"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA1 (JAN - JUN)","7621","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","IL","Illinois","17"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA1 (JAN - JUN)","534","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","WV","West Virginia","54"
"Local/Municipal,State,Federal,Private","DrugReport  ","1997","SA2 (JUL - DEC)","197","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2008","SA1 (JAN - JUN)","4644","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA1 (JAN - JUN)","3473","2023-06-06 13:44:32","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","MA","Massachusetts","25"
"Local/Municipal,State,Federal,Private","DrugReport  ","2012","SA1 (JAN - JUN)","4314","2023-06-06 13:44:32","1278","HEROIN","1278","Heroin","9","Heroin","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","4136","2023-06-06 13:44:32","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","MA","Massachusetts","25"
"Local/Municipal,State,Federal,Private","DrugReport  ","2011","SA2 (JUL - DEC)","2308","2023-06-06 13:44:32","1247","OXYCODONE","1247","Oxycodone","11","Narcotic Analgesics","KY","Kentucky","21"
"Local/Municipal,State,Federal,Private","DrugReport  ","2011","SA1 (JAN - JUN)","89","2023-06-06 13:44:32","1279","HEROIN HYDROCHLORIDE","1278","Heroin","9","Heroin","FL","Florida","12"
